Method	Type	Mean	SD	Integration
scanpy-Pearson (batch)	Clustering	-5.125	8.720869877974986	GPSA
scanpy-Pearson (batch)	Integration	4.5625	8.466056174090575	GPSA
scanpy-Pearson (batch)	Overall	0.0625	7.163585993461256	GPSA
scanpy-Pearson (batch)	Alignment	1.125	6.401729676981281	STAligner
scanpy-Pearson (batch)	Clustering	-5.5	6.4142698058981855	STAligner
scanpy-Pearson (batch)	Integration	4.875	5.938674695827104	STAligner
scanpy-Pearson (batch)	Overall	2.625	4.373213921133975	STAligner
scanpy-Seurat	Alignment	1.625	5.0124844139408555	Cell
Charter
scanpy-Seurat	Clustering	1.75	9.587938851941612	Cell
Charter
scanpy-Seurat	Integration	1.625	5.44944295973713	Cell
Charter
scanpy-Seurat	Overall	4	8.228869042236953	Cell
Charter
scanpy-Seurat	Alignment	4.625	6.8907287609615615	GPSA
scanpy-Seurat	Clustering	-2.3125	9.066963186677855	GPSA
scanpy-Seurat	Integration	3	5.1269595556932455	GPSA
scanpy-Seurat	Overall	0.875	5.743008171432708	GPSA
scanpy-Seurat	Alignment	1.75	3.4121631178560534	STAligner
scanpy-Seurat	Clustering	-3.125	8.967202143685302	STAligner
scanpy-Seurat	Integration	1.5	8.263517065131184	STAligner
scanpy-Seurat	Overall	1	5.756983337031396	STAligner
scanpy-Seurat (batch)	Alignment	2.875	4.54933276112317	Cell
Charter
scanpy-Seurat (batch)	Clustering	-0.375	7.44383733605956	Cell
Charter
scanpy-Seurat (batch)	Integration	-1.5	5.291502622129181	Cell
Charter
scanpy-Seurat (batch)	Overall	-1	7.855844048495726	Cell
Charter
scanpy-Seurat (batch)	Alignment	2.5	9.071147352221454	GPSA
scanpy-Seurat (batch)	Clustering	-1.75	12.406795373043412	GPSA
scanpy-Seurat (batch)	Integration	-2.125	5.817154434453817	GPSA
scanpy-Seurat (batch)	Overall	-0.5	10.677078252031311	GPSA
scanpy-Seurat (batch)	Alignment	0.375	4.103569874424672	STAligner
scanpy-Seurat (batch)	Clustering	-3	8.383657572069263	STAligner
scanpy-Seurat (batch)	Integration	2.375	8.24512843181614	STAligner
scanpy-Seurat (batch)	Overall	1	7.634508123364221	STAligner
scanpy-SeuratV3	Alignment	2	10.295630140987	Cell
Charter
scanpy-SeuratV3	Clustering	-1.375	4.926241685388278	Cell
Charter
scanpy-SeuratV3	Integration	1.875	5.488624600025037	Cell
Charter
scanpy-SeuratV3	Overall	1.25	8.413424646700907	Cell
Charter
scanpy-SeuratV3	Alignment	5	8.6972902183874	GPSA
scanpy-SeuratV3	Clustering	0.9375	6.224591208608459	GPSA
scanpy-SeuratV3	Integration	0.875	10.629305850202208	GPSA
scanpy-SeuratV3	Overall	3.75	6.840008354213778	GPSA
scanpy-SeuratV3	Alignment	-1	3.9641248358604595	STAligner
scanpy-SeuratV3	Clustering	0	7.653197277702214	STAligner
scanpy-SeuratV3	Integration	2.75	7.905694150420948	STAligner
scanpy-SeuratV3	Overall	-0.75	3.7321001364608946	STAligner
scanpy-SeuratV3 (batch)	Alignment	-0.875	5.356904756613521	Cell
Charter
scanpy-SeuratV3 (batch)	Clustering	-1.5	8.602325267042627	Cell
Charter
scanpy-SeuratV3 (batch)	Integration	-0.5	8.717797887081348	Cell
Charter
scanpy-SeuratV3 (batch)	Overall	-0.5	3.6645015252516173	Cell
Charter
scanpy-SeuratV3 (batch)	Alignment	-4.9375	9.033420092712868	GPSA
scanpy-SeuratV3 (batch)	Clustering	-2.5625	11.456244398330796	GPSA
scanpy-SeuratV3 (batch)	Integration	-2.625	11.475906437899734	GPSA
scanpy-SeuratV3 (batch)	Overall	-2	11.122692377040988	GPSA
scanpy-SeuratV3 (batch)	Alignment	-2.125	5.540435774506241	STAligner
scanpy-SeuratV3 (batch)	Clustering	-3.375	10.50085030570654	STAligner
scanpy-SeuratV3 (batch)	Integration	4.75	6.181770435262516	STAligner
scanpy-SeuratV3 (batch)	Overall	-0.75	6.250714244902623	STAligner
scry	Alignment	4	12.066482503198685	Cell
Charter
scry	Clustering	5.333333333333333	8.824209124146291	Cell
Charter
scry	Integration	-2	8.366600265340756	Cell
Charter
scry	Overall	5	10.807404868885037	Cell
Charter
scry	Alignment	2.5	14.923136399564267	GPSA
scry	Clustering	8	16.284962388657824	GPSA
scry	Integration	-3.5	7.635443667528429	GPSA
scry	Overall	5.333333333333333	15.370968306084906	GPSA
scry	Alignment	4	8.07465169527454	STAligner
scry	Clustering	-0.16666666666666666	4.708148963941845	STAligner
scry	Integration	-9.5	4.888762624632126	STAligner
scry	Overall	-0.6666666666666666	4.226897995772629	STAligner
singleCellHaystack	Alignment	-4.833333333333333	9.282600210429546	Cell
Charter
singleCellHaystack	Clustering	-3.6666666666666665	15.435888917281916	Cell
Charter
singleCellHaystack	Integration	-2.5	11.502173707608488	Cell
Charter
singleCellHaystack	Overall	-6.166666666666667	12.367969383316998	Cell
Charter
singleCellHaystack	Alignment	-5.5	17.049926686059386	GPSA
singleCellHaystack	Clustering	2.3333333333333335	14.12326685532305	GPSA
singleCellHaystack	Integration	-0.5833333333333334	12.491663887035491	GPSA
singleCellHaystack	Overall	0.08333333333333333	13.705534162033477	GPSA
singleCellHaystack	Alignment	0.8333333333333334	12.797135096054378	STAligner
singleCellHaystack	Clustering	-2	12.617448236470002	STAligner
singleCellHaystack	Integration	-7.333333333333333	10.191499726078918	STAligner
singleCellHaystack	Overall	-3.3333333333333335	12.500666648889837	STAligner
triku	Alignment	0.5	7.54036755451237	Cell
Charter
triku	Clustering	1.5	8.468428763016531	Cell
Charter
triku	Integration	6.375	7.327784697398564	Cell
Charter
triku	Overall	4.125	8.253787009609589	Cell
Charter
triku	Alignment	2.6875	11.379610525597338	GPSA
triku	Clustering	6.4375	9.309892971611282	GPSA
triku	Integration	0.375	10.979689040613646	GPSA
triku	Overall	4.75	9.192388155425117	GPSA
triku	Alignment	-3	8.976158898517147	STAligner
triku	Clustering	3.25	6.881652625434014	STAligner
triku	Integration	1.5	7.250615737399726	STAligner
triku	Overall	0.5	5.503245795502349	STAligner
