Method	IntegrationMethod	Type	Mean	SD	Integration
Statistic variance	gpsa	Overall	0.36119456829355595	0.04922913743545521	GPSA
Statistic variance	scvi	Alignment	0.6650807032198232	0.25878232156793607	scVI
Statistic variance	scvi	Clustering	0.5904756739566446	0.16652809755459327	scVI
Statistic variance	scvi	Integration	0.5760453050982954	0.15252632893227863	scVI
Statistic variance	scvi	Overall	0.6249270068441302	0.1268767548894224	scVI
Statistic variance	staligner	Alignment	0.7423547197444588	0.24637307881300582	STAligner
Statistic variance	staligner	Clustering	0.5856082934505262	0.09087053605918638	STAligner
Statistic variance	staligner	Integration	0.5750477802122667	0.21529878333443456	STAligner
Statistic variance	staligner	Overall	0.6658056324960488	0.11358012741565551	STAligner
Transcription factors	cellcharter	Alignment	0.7981907146499356	0.14506846205239465	Cell
Charter
Transcription factors	cellcharter	Clustering	0.6334425030633654	0.11270203145684202	Cell
Charter
Transcription factors	cellcharter	Integration	0.6355248290070308	0.20240477761725456	Cell
Charter
Transcription factors	cellcharter	Overall	0.7276645426334459	0.11260562141433537	Cell
Charter
Transcription factors	gpsa	Alignment	0.5223210157251703	0.09160865012097616	GPSA
Transcription factors	gpsa	Clustering	0.015463909845474912	0.01512166645174425	GPSA
Transcription factors	gpsa	Integration	0.659559151858578	0.21648125811301047	GPSA
Transcription factors	gpsa	Overall	0.35884909114203284	0.043523968018550296	GPSA
Transcription factors	scvi	Alignment	0.7534166542022188	0.17219284439638285	scVI
Transcription factors	scvi	Clustering	0.37842007739820743	0.15502343146924694	scVI
Transcription factors	scvi	Integration	0.5790439144271186	0.1475561701119378	scVI
Transcription factors	scvi	Overall	0.5670468138549576	0.12382501298754128	scVI
Transcription factors	staligner	Alignment	0.7130294514674451	0.18391621373025807	STAligner
Transcription factors	staligner	Clustering	0.4946432582813575	0.16641175220409854	STAligner
Transcription factors	staligner	Integration	0.5743496632861631	0.130309375918708	STAligner
Transcription factors	staligner	Overall	0.591419956148604	0.141033014049787	STAligner
Wilcoxon	cellcharter	Alignment	0.8199090866856908	0.14315743650535442	Cell
Charter
Wilcoxon	cellcharter	Clustering	0.6735006841972081	0.028784070281304596	Cell
Charter
Wilcoxon	cellcharter	Integration	0.8067040016045259	0.045578020155537025	Cell
Charter
Wilcoxon	cellcharter	Overall	0.7667045908291417	0.055028702749386205	Cell
Charter
Wilcoxon	gpsa	Alignment	0.49377606234829546	0.006037139976789904	GPSA
Wilcoxon	gpsa	Clustering	0.008988199647796808	0.005259985228499118	GPSA
Wilcoxon	gpsa	Integration	0.5271987057038933	0.06817976055295707	GPSA
