fs_method	integration_method	MethodGroup	MeanIntegrationScore	SDIntegrationScore	MeanIntegrationRank	SDIntegrationRank	NIntegrationDatasets	MeanClusteringScore	SDClusteringScore	MeanClusteringRank	SDClusteringRank	NClusteringDatasets	MeanAlignmentScore	SDAlignmentScore	MeanAlignmentRank	SDAlignmentRank	NAlignmentDatasets	MeanCoreOverallScore	SDCoreOverallScore	MeanCoreOverallRank	SDCoreOverallRank	NCoreOverallDatasets	MeanAlignmentEligibleOverallScore	SDAlignmentEligibleOverallScore	MeanAlignmentEligibleOverallRank	SDAlignmentEligibleOverallRank	NAlignmentEligibleOverallDatasets	GlobalCoreOverallRank
scanpy_cell_ranger	scvi	expression_driven	0.726376075832583	0.08753364524895596	6.714285714285714	5.529143565818179	7	0.5042459774079535	0.20610519946279748	18.714285714285715	9.995236960911027	7	0.8495027650188253	0.1614128511206344	14.0	16.97056274847714	2	0.6153110266202682	0.10767285258282701	14.571428571428571	10.690449676496975	7	0.7388322079103031	0.16133139563966722	14.5	19.091883092036785	2	17.5
scanpy_pearson_batch	scvi	expression_driven	0.6559386134293017	0.14818778137350896	14.142857142857142	4.913538149119954	7	0.5154818116821336	0.1531496878326787	18.285714285714285	6.651172470932869	7	0.7317981086997043	0.04435188131911924	18.5	0.7071067811865476	2	0.5857102125557176	0.09464153563775408	17.0	7.916228058025279	7	0.6211062722984271	0.10908518272877014	18.0	4.242640687119285	2	19.0
scanpy_seurat_batch	scvi	expression_driven	0.7100608729477454	0.10324514665705328	6.285714285714286	2.5634797778466227	7	0.5111077872095892	0.19472842479881713	20.857142857142858	7.151423434733616	7	0.8164138327721424	0.08624887145718582	15.0	7.0710678118654755	2	0.6105843300786672	0.07651677019582151	17.285714285714285	7.867957924694431	7	0.7073955900120081	0.03938849517850663	14.0	7.0710678118654755	2	20.0
scPNMF	scvi	expression_driven	0.6501664344495622	0.14426340015605563	16.285714285714285	6.77530529974568	7	0.5388506058331675	0.1443874976693854	17.714285714285715	4.1518785191880605	7	0.6455586889625424	0.15252821102195896	24.0	4.242640687119285	2	0.5945085201413649	0.07644676621886122	17.428571428571427	5.711308748355986	7	0.5932979327229511	0.10625782724589454	22.5	2.1213203435596424	2	21.0
seurat_disp	scvi	expression_driven	0.6740223678617595	0.14329089633446754	13.142857142857142	8.13282590142302	7	0.5175458241436289	0.17849079485613825	18.571428571428573	5.380741673076395	7	0.7586253357653971	0.00849725135968223	19.5	3.5355339059327378	2	0.5957840960026942	0.08541143093916097	17.571428571428573	7.828519290754434	7	0.6468576450002417	0.05435948723347652	16.0	1.4142135623730951	2	22.0
seurat_mvp	scvi	expression_driven	0.7271982467092927	0.11193075068371325	8.285714285714286	8.400680244565232	7	0.5064910745493995	0.20328377874172027	22.428571428571427	7.913219801006895	7	0.8434943045346959	0.14975441807097203	13.5	13.435028842544403	2	0.6168446606293461	0.09671194400185616	19.0	7.234178138070236	7	0.7373776696897825	0.1241160532917449	14.5	13.435028842544403	2	23.0
scanpy_seurat	scvi	expression_driven	0.7303216065791666	0.1210143639709327	8.285714285714286	10.193368525897704	7	0.5030548991219328	0.2171461434721935	22.857142857142858	8.532849688675162	7	0.8374005769994415	0.15834883830948362	16.0	15.556349186104045	2	0.6166882528505498	0.10188819036985301	19.714285714285715	8.400680244565233	7	0.7384280689488825	0.1335330477345898	14.5	14.849242404917497	2	24.0
sparkx	scvi	spatially_informed	0.6060354530087652	0.13512152175402997	24.857142857142858	4.450789122113495	7	0.5525046392871884	0.12210053119529041	15.428571428571429	9.253056123197762	7	0.7207131086017353	0.06060148548060133	19.0	2.8284271247461903	2	0.579270046147977	0.07131091664285964	20.142857142857142	8.687703406320365	7	0.6233928960070391	0.06522425124122794	20.0	0.0	2	25.0
scry	scvi	expression_driven	0.6287771031420818	0.14064640873309353	18.857142857142858	9.73701821963602	7	0.518266355804273	0.15158226655871204	18.285714285714285	7.4097747539828696	7	0.6517733510319277	0.11877245994082256	25.5	0.7071067811865476	2	0.5735217294731774	0.08938829179459143	20.428571428571427	6.7788185513687385	7	0.5654409901617963	0.11976246888316311	25.0	2.8284271247461903	2	26.5
statistic_variance	scvi	expression_driven	0.6320151498611659	0.17437619719242273	18.142857142857142	8.029706749078105	7	0.5343701832494256	0.16506451825549848	18.0	6.531972647421808	7	0.5874379358023119	0.28110747490443505	20.5	12.020815280171307	2	0.5831926665552958	0.08702974926631038	20.428571428571427	5.968169536721256	7	0.5823895780974664	0.17237885894860214	21.5	10.606601717798213	2	26.5
