dataset	fs_method	n_features	integration_method	task	metric_name	ValueMeanRaw	ValueSDRaw	OrientedMean	OrientedSD	NSeeds	EffectiveFeaturesMin	EffectiveFeaturesMax	RuntimeMean
DLPFC	Brennecke	2000	cellcharter	clustering_eval	ari	0.22705988526666665	0.014392715542489727	0.22705988526666665	0.014392715542489727	3	2000	2000	46.97374426296667
DLPFC	Brennecke	2000	cellcharter	clustering_eval	nmi	0.3429198197	0.019268445430509696	0.3429198197	0.019268445430509696	3	2000	2000	46.97374426296667
DLPFC	Brennecke	2000	cellcharter	clustering_eval	silhouette	0.1032323986	0.005026089985049103	0.1032323986	0.005026089985049103	3	2000	2000	46.97374426296667
DLPFC	Brennecke	2000	cellcharter	integration_eval	GC	0.9743740177000001	0.0033674285887693545	0.9743740177000001	0.0033674285887693545	3	2000	2000	49.32245658989999
DLPFC	Brennecke	2000	cellcharter	integration_eval	ILL	0.5776045257	0.010300562283329992	0.5776045257	0.010300562283329992	3	2000	2000	49.32245658989999
DLPFC	Brennecke	2000	cellcharter	integration_eval	bASW	0.9604613324	0.0002842441300226013	0.9604613324	0.0002842441300226013	3	2000	2000	49.32245658989999
DLPFC	Brennecke	2000	cellcharter	integration_eval	dASW	0.5104886448666667	0.0007079263297041146	0.5104886448666667	0.0007079263297041146	3	2000	2000	49.32245658989999
DLPFC	Brennecke	2000	cellcharter	integration_eval	dLISI	0.8949260073333334	0.004064728847529609	0.8949260073333334	0.004064728847529609	3	2000	2000	49.32245658989999
DLPFC	Brennecke	2000	cellcharter	integration_eval	iLISI	0.18449414509999998	0.0023708305426343303	0.18449414509999998	0.0023708305426343303	3	2000	2000	49.32245658989999
DLPFC	Brennecke	2000	scvi	alignment_eval	Accuracy	0.47093333333333337	0.009962094826557955	0.47093333333333337	0.009962094826557955	3	2000	2000	29.842449753233335
DLPFC	Brennecke	2000	scvi	alignment_eval	Ratio	0.8892537200333334	0.02068149490250196	-0.8892537200333334	0.02068149490250196	3	2000	2000	29.842449753233335
DLPFC	Brennecke	2000	scvi	clustering_eval	CHAOS	0.07225229770000001	0.0003198427990273784	-0.07225229770000001	0.0003198427990273784	3	2000	2000	30.677299316366668
DLPFC	Brennecke	2000	scvi	clustering_eval	PAS	0.40655555553333333	0.01456316065412875	-0.40655555553333333	0.01456316065412875	3	2000	2000	30.677299316366668
DLPFC	Brennecke	2000	scvi	clustering_eval	ari	0.16941888230000002	0.01281610389585159	0.16941888230000002	0.01281610389585159	3	2000	2000	30.677299316366668
