dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	DirectionMultiplier	OrientedValue	Lower	Upper	Range	RangeStatus	FrozenScaleDenominator	ScaledValue
DLPFC	Visium	4	Brennecke	200	cellcharter	integration_eval	GC	0.9743906702	0	59.4338934319	28892.62109375	200	cache_signature=0279e905630f004c464c58ce0dbee5fb	1	0.9743906702	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.9742373696763865
DLPFC	Visium	4	Brennecke	2000	cellcharter	alignment_eval	Accuracy	0.6504	0	59.4477229845	13943.54296875	2000	cache_signature=067b6d4c65c4ba6f33683f1f38523f49	1	0.6504	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.7826753763135473
DLPFC	Visium	4	Brennecke	2000	cellcharter	alignment_eval	Ratio	1.2239468216	0	59.4477229845	13943.54296875	2000	cache_signature=067b6d4c65c4ba6f33683f1f38523f49	-1	-1.2239468216	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.9159083407577824
DLPFC	Visium	4	Brennecke	2000	cellcharter	clustering_eval	silhouette	0.0992888659	0	59.8019306716	13943.54296875	2000	cache_signature=5bf6ef3a023b0c64df9714f6dea1ab1b	1	0.0992888659	0.029338402066666668	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.08228858895104714
DLPFC	Visium	4	Brennecke	2000	cellcharter	clustering_eval	ari	0.2170767437	0	59.8019306716	13943.54296875	2000	cache_signature=5bf6ef3a023b0c64df9714f6dea1ab1b	1	0.2170767437	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.5522326019814704
DLPFC	Visium	4	Brennecke	2000	cellcharter	clustering_eval	nmi	0.327821769	0	59.8019306716	13943.54296875	2000	cache_signature=5bf6ef3a023b0c64df9714f6dea1ab1b	1	0.327821769	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.6008515675300704
DLPFC	Visium	4	Brennecke	2000	cellcharter	clustering_eval	CHAOS	0.0590760853	0	59.8019306716	13943.54296875	2000	cache_signature=5bf6ef3a023b0c64df9714f6dea1ab1b	-1	-0.0590760853	-0.0892011679	-0.0581763831	0.031024784800000003	ok	0.031024784800000003	0.9710005337410109
DLPFC	Visium	4	Brennecke	2000	cellcharter	clustering_eval	PAS	0.0538333333	0	59.8019306716	13943.54296875	2000	cache_signature=5bf6ef3a023b0c64df9714f6dea1ab1b	-1	-0.0538333333	-0.8281666667	-0.026944444433333336	0.8012222222666667	ok	0.8012222222666667	0.9664401608949417
DLPFC	Visium	4	Brennecke	2000	cellcharter	integration_eval	bASW	0.9601331726	0	61.9396365806	13943.54296875	2000	cache_signature=77f8b7a09d948c54abdb994cc6166969	1	0.9601331726	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.9509881999547389
DLPFC	Visium	4	Brennecke	2000	cellcharter	integration_eval	iLISI	0.1869352732	0	61.9396365806	13943.54296875	2000	cache_signature=77f8b7a09d948c54abdb994cc6166969	1	0.1869352732	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.2575127763949971
DLPFC	Visium	4	Brennecke	2000	cellcharter	integration_eval	dASW	0.5104179671	0	61.9396365806	13943.54296875	2000	cache_signature=77f8b7a09d948c54abdb994cc6166969	1	0.5104179671	0.4023712054	0.535358496	0.13298729059999997	ok	0.13298729059999997	0.8124593050397856
DLPFC	Visium	4	Brennecke	2000	cellcharter	integration_eval	dLISI	0.8958019318	0	61.9396365806	13943.54296875	2000	cache_signature=77f8b7a09d948c54abdb994cc6166969	1	0.8958019318	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.8820612718139015
DLPFC	Visium	4	Brennecke	2000	cellcharter	integration_eval	ILL	0.5810930193	0	61.9396365806	13943.54296875	2000	cache_signature=77f8b7a09d948c54abdb994cc6166969	1	0.5810930193	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.7444548866682216
DLPFC	Visium	4	Brennecke	2000	cellcharter	integration_eval	GC	0.9781988301	0	61.9396365806	13943.54296875	2000	cache_signature=77f8b7a09d948c54abdb994cc6166969	1	0.9781988301	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.9792501699839897
DLPFC	Visium	4	Brennecke	2000	cellcharter	alignment_eval	Accuracy	0.6489	1	39.3827423295	15578.05078125	2000	cache_signature=b7840d189c6b0498fed45dfd9d2c7056	1	0.6489	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.7801192842942347
DLPFC	Visium	4	Brennecke	2000	cellcharter	alignment_eval	Ratio	1.2385748451	1	39.3827423295	15578.05078125	2000	cache_signature=b7840d189c6b0498fed45dfd9d2c7056	-1	-1.2385748451	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.9133975201221661
DLPFC	Visium	4	Brennecke	2000	cellcharter	clustering_eval	silhouette	0.1088917106	1	39.7043051245	15578.05078125	2000	cache_signature=47eb22a49365736c98419ec01ff80c31	1	0.1088917106	0.029338402066666668	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.09358521940887818
DLPFC	Visium	4	Brennecke	2000	cellcharter	clustering_eval	ari	0.2205448091	1	39.7043051245	15578.05078125	2000	cache_signature=47eb22a49365736c98419ec01ff80c31	1	0.2205448091	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.5614934439216658
DLPFC	Visium	4	Brennecke	2000	cellcharter	clustering_eval	nmi	0.3363157663	1	39.7043051245	15578.05078125	2000	cache_signature=47eb22a49365736c98419ec01ff80c31	1	0.3363157663	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.6173454498342619
DLPFC	Visium	4	Brennecke	2000	cellcharter	clustering_eval	CHAOS	0.0587010696	1	39.7043051245	15578.05078125	2000	cache_signature=47eb22a49365736c98419ec01ff80c31	-1	-0.0587010696	-0.0892011679	-0.0581763831	0.031024784800000003	ok	0.031024784800000003	0.9830881502198203
DLPFC	Visium	4	Brennecke	2000	cellcharter	clustering_eval	PAS	0.0419166667	1	39.7043051245	15578.05078125	2000	cache_signature=47eb22a49365736c98419ec01ff80c31	-1	-0.0419166667	-0.8281666667	-0.026944444433333336	0.8012222222666667	ok	0.8012222222666667	0.9813132713364963
DLPFC	Visium	4	Brennecke	2000	cellcharter	integration_eval	bASW	0.9606201128	1	42.1480315086	15578.05078125	2000	cache_signature=7d41f143ee260e4c98105718453fd0f5	1	0.9606201128	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.9516395186794695
