dataset	fs_method	n_features	MethodGroup	CanonicalConfig
E9p5Embryo	seurat_sct	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	seurat_vst	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	singleCellHaystack	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	somde	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	sparkx	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	spatialde	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	statistic_mean	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	statistic_variance	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
E9p5Embryo	triku	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/e9p5_embryo.yaml
MouseBrainSerialSections	Brennecke	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	TFs	2000	control	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	all_features	all	control	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	anticor	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	dubstepr	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	hotspot	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	morans_i	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	nbumi	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	nnsvg	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	osca	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	random	500	control	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	scPNMF	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	scanpy_cell_ranger	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	scanpy_cell_ranger_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	scanpy_pearson	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	scanpy_pearson_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	scanpy_seurat	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	scanpy_seurat_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	scanpy_seurat_v3	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
MouseBrainSerialSections	scanpy_seurat_v3_batch	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/mouse_brain_serial_sections.yaml
