Method	Dataset	Label	Lineage	Value
Statistic mean (N=2000)	Full	Langerhans Cell	Immune	0.95
Statistic mean (N=2000)	Full	T Cell	Immune	0.65
Statistic mean (N=2000)	Full	Keratinocyte	Epithelial	0.99
Statistic mean (N=2000)	Full	Merkel Cell	Epithelial	0.55
Statistic mean (N=2000)	Full	Stem Cell	Epithelial	0.92
Statistic mean (N=2000)	Full	Progenitor Cell	Epithelial	0.87
Statistic mean (N=2000)	Immune	Langerhans Cell	Immune	1.0
Statistic mean (N=2000)	Immune	T Cell	Immune	0.54
Statistic mean (N=2000)	Epithelial	Keratinocyte	Epithelial	1.0
Statistic mean (N=2000)	Epithelial	Merkel Cell	Epithelial	0.53
Statistic mean (N=2000)	Epithelial	Stem Cell	Epithelial	0.92
Statistic mean (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.82
Statistic variance (N=2000)	Full	Langerhans Cell	Immune	0.95
Statistic variance (N=2000)	Full	T Cell	Immune	0.63
Statistic variance (N=2000)	Full	Keratinocyte	Epithelial	0.99
Statistic variance (N=2000)	Full	Merkel Cell	Epithelial	0.59
Statistic variance (N=2000)	Full	Stem Cell	Epithelial	0.92
Statistic variance (N=2000)	Full	Progenitor Cell	Epithelial	0.91
Statistic variance (N=2000)	Immune	Langerhans Cell	Immune	0.96
Statistic variance (N=2000)	Immune	T Cell	Immune	0.55
Statistic variance (N=2000)	Epithelial	Keratinocyte	Epithelial	0.99
Statistic variance (N=2000)	Epithelial	Merkel Cell	Epithelial	0.59
Statistic variance (N=2000)	Epithelial	Stem Cell	Epithelial	0.94
Statistic variance (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.88
Transcription factors (N=2000)	Full	Langerhans Cell	Immune	0.01
Transcription factors (N=2000)	Full	T Cell	Immune	0.13
Transcription factors (N=2000)	Full	Keratinocyte	Epithelial	0.06
Transcription factors (N=2000)	Full	Merkel Cell	Epithelial	0.01
Transcription factors (N=2000)	Full	Stem Cell	Epithelial	0.07
Transcription factors (N=2000)	Full	Progenitor Cell	Epithelial	0.01
Transcription factors (N=2000)	Immune	Langerhans Cell	Immune	0.01
Transcription factors (N=2000)	Immune	T Cell	Immune	0.13
Transcription factors (N=2000)	Epithelial	Keratinocyte	Epithelial	0.06
Transcription factors (N=2000)	Epithelial	Merkel Cell	Epithelial	0.01
Transcription factors (N=2000)	Epithelial	Stem Cell	Epithelial	0.07
Transcription factors (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.01
triku (N=2000)	Full	Langerhans Cell	Immune	0.62
triku (N=2000)	Full	T Cell	Immune	0.55
triku (N=2000)	Full	Keratinocyte	Epithelial	0.84
triku (N=2000)	Full	Merkel Cell	Epithelial	0.62
triku (N=2000)	Full	Stem Cell	Epithelial	0.58
triku (N=2000)	Full	Progenitor Cell	Epithelial	0.51
triku (N=2000)	Immune	Langerhans Cell	Immune	0.52
triku (N=2000)	Immune	T Cell	Immune	0.72
triku (N=2000)	Epithelial	Keratinocyte	Epithelial	0.69
triku (N=2000)	Epithelial	Merkel Cell	Epithelial	0.67
triku (N=2000)	Epithelial	Stem Cell	Epithelial	0.42
triku (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.57
Wilcoxon (N=2000)	Full	Langerhans Cell	Immune	0.95
Wilcoxon (N=2000)	Full	T Cell	Immune	0.13
Wilcoxon (N=2000)	Full	Keratinocyte	Epithelial	0.13
Wilcoxon (N=2000)	Full	Merkel Cell	Epithelial	0.61
Wilcoxon (N=2000)	Full	Stem Cell	Epithelial	0.1
Wilcoxon (N=2000)	Full	Progenitor Cell	Epithelial	1.0
Wilcoxon (N=2000)	Immune	Langerhans Cell	Immune	0.54
Wilcoxon (N=2000)	Immune	T Cell	Immune	0.63
Wilcoxon (N=2000)	Epithelial	Keratinocyte	Epithelial	0.16
Wilcoxon (N=2000)	Epithelial	Merkel Cell	Epithelial	0.89
Wilcoxon (N=2000)	Epithelial	Stem Cell	Epithelial	0.36
Wilcoxon (N=2000)	Epithelial	Progenitor Cell	Epithelial	1.0
