Dataset	Platform	NSlices	Method	MethodBase	SelFeatures	Integration	IntegrationLabel	Task	TaskLabel	Type	Metric	MetricName	Value	ValueRaw	HigherBetter	Seed	Runtime	EffectiveFeatures	Notes
DLPFC	Visium	4	Brennecke-N500	Brennecke	500	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	silhouette	Silhouette	0.0554503798	0.0554503798	True	0	249.2201973833	500	cache_signature=791f72455d2928a5f3ffbda386d8b3e1
DLPFC	Visium	4	Brennecke-N500	Brennecke	500	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	ari	ARI	0.179091102	0.179091102	True	0	249.2201973833	500	cache_signature=791f72455d2928a5f3ffbda386d8b3e1
DLPFC	Visium	4	Brennecke-N500	Brennecke	500	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	nmi	NMI	0.3450493864	0.3450493864	True	0	249.2201973833	500	cache_signature=791f72455d2928a5f3ffbda386d8b3e1
DLPFC	Visium	4	Brennecke-N500	Brennecke	500	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	CHAOS	CHAOS	-0.0588687038	0.0588687038	False	0	249.2201973833	500	cache_signature=791f72455d2928a5f3ffbda386d8b3e1
DLPFC	Visium	4	Brennecke-N500	Brennecke	500	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	PAS	PAS	-0.0586335792	0.0586335792	False	0	249.2201973833	500	cache_signature=791f72455d2928a5f3ffbda386d8b3e1
DLPFC	Visium	4	Brennecke-N500	Brennecke	500	cellcharter	CellCharter	integration_eval	Integration	Integration	bASW	bASW	0.9865671973	0.9865671973	True	0	254.8250073195	500	cache_signature=4260533a85fc7139eead7e7abfbf3848
DLPFC	Visium	4	Brennecke-N500	Brennecke	500	cellcharter	CellCharter	integration_eval	Integration	Integration	iLISI	iLISI	0.3061984361	0.3061984361	True	0	254.8250073195	500	cache_signature=4260533a85fc7139eead7e7abfbf3848
DLPFC	Visium	4	Brennecke-N500	Brennecke	500	cellcharter	CellCharter	integration_eval	Integration	Integration	dASW	dASW	0.5060472707	0.5060472707	True	0	254.8250073195	500	cache_signature=4260533a85fc7139eead7e7abfbf3848
DLPFC	Visium	4	Brennecke-N500	Brennecke	500	cellcharter	CellCharter	integration_eval	Integration	Integration	dLISI	dLISI	0.8828087983	0.8828087983	True	0	254.8250073195	500	cache_signature=4260533a85fc7139eead7e7abfbf3848
DLPFC	Visium	4	Brennecke-N500	Brennecke	500	cellcharter	CellCharter	integration_eval	Integration	Integration	ILL	ILL	0.5371700459	0.5371700459	True	0	254.8250073195	500	cache_signature=4260533a85fc7139eead7e7abfbf3848
DLPFC	Visium	4	Brennecke-N500	Brennecke	500	cellcharter	CellCharter	integration_eval	Integration	Integration	GC	GC	0.9771620378	0.9771620378	True	0	254.8250073195	500	cache_signature=4260533a85fc7139eead7e7abfbf3848
DLPFC	Visium	4	Brennecke-N5000	Brennecke	5000	cellcharter	CellCharter	alignment_eval	Alignment	Alignment	Accuracy	Accuracy	0.7095932395	0.7095932395	True	0	593.4034820125	5000	cache_signature=4d661a549b1b9986a95a4c6d5038f3cd
DLPFC	Visium	4	Brennecke-N5000	Brennecke	5000	cellcharter	CellCharter	alignment_eval	Alignment	Alignment	Ratio	Ratio	-1.4345145707	1.4345145707	False	0	593.4034820125	5000	cache_signature=4d661a549b1b9986a95a4c6d5038f3cd
DLPFC	Visium	4	Brennecke-N5000	Brennecke	5000	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	silhouette	Silhouette	0.0837643072	0.0837643072	True	0	590.489850685	5000	cache_signature=0a0bc6954fdfb868a04629d40965c00f
