dataset	fs_method	n_features	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	MethodGroup
DLPFC	seurat_sct	2000	graphst	0.5243782851694598	0.002424245921731618	3	0.9149419851894226	0.016408911178048376	3	0.7196601351794412	0.007783445009283326	3	0.7241707304442083	0.01797168812908365	3	0.572620951398754	0.011728471891468988	3	0.6483958409214812	0.010862293798272974	3	0.7866454473174586	0.013736643188880952	3	0.6840279880504613	0.0015428177243345376	3	0.718233807806127	0.004376221488290467	3	expression_driven
DLPFC	seurat_vst	2000	graphst	0.5628561711733145	0.0027834124189338597	3	0.9621598802029055	0.0109704535803769	3	0.7625080256881102	0.004254751123460545	3	0.7111936282614381	0.015733925351706344	3	0.7269451582547456	0.03805980948483615	3	0.7190693932580917	0.013383723752265625	3	0.8809608251126705	0.002845805273913968	3	0.7407887094731009	0.008373594025592915	3	0.7875127480196241	0.0061441224268173845	3	expression_driven
DLPFC	singleCellHaystack	2000	graphst	0.5497291056428958	0.010069153980640424	3	0.9153301377616502	0.00883566470323824	3	0.7325296217022729	0.0006782340094816341	3	0.7393892529641337	0.01758384101972115	3	0.582624926874823	0.10851929693940124	3	0.6610070899194784	0.05166276221662188	3	0.8514553138886157	0.009817478176811053	3	0.6967683558108758	0.025901171571827662	3	0.7483306751701223	0.01500320778260135	3	expression_driven
DLPFC	somde	2000	graphst	0.5330987892395885	0.005324494318821392	3	0.965440065250026	0.004370988731304942	3	0.7492694272448072	0.0037406709879224914	3	0.7162741024501331	0.012810706907623419	3	0.63282925670674	0.06584877398795223	3	0.6745516795784366	0.029350951021587395	3	0.8523895908269566	0.012471977503594068	3	0.7119105534116219	0.012862049962906363	3	0.7587368992167335	0.012283768857759435	3	spatially_informed
DLPFC	sparkx	2000	graphst	0.5406884828016366	0.0037067947173799673	3	0.9180084814900645	0.00918264903370838	3	0.7293484821458507	0.004841548683405802	3	0.7080400096741407	0.015471339718493508	3	0.5614189589237332	0.04213696675694167	3	0.6347294842989369	0.013822680491953211	3	0.8226998470152435	0.004086556867409238	3	0.6820389832223938	0.008497470068016762	3	0.7289259378200104	0.005091539388498721	3	spatially_informed
DLPFC	spatialde	2000	graphst	0.5299474039014941	0.003930998858923336	3	0.9444781713979006	0.006416319609654055	3	0.7372127876496973	0.00516066888436817	3	0.7005950151406396	0.022121998706740992	3	0.5685544401139478	0.08715199532117182	3	0.6345747276272937	0.053665939729918156	3	0.8356108187784802	0.0156035722964482	3	0.6858937576384956	0.025529473324788717	3	0.7357994446851572	0.01278689933943053	3	spatially_informed
DLPFC	statistic_mean	2000	graphst	0.5410117179303479	0.006898756142013264	3	0.8687586710256405	0.012761606461046814	3	0.7048851944779942	0.0030052174126912025	3	0.7111080832880224	0.0039524511223702555	3	0.5679640772008897	0.029469730500461224	3	0.6395360802444561	0.015708763591142802	3	0.7836882330238765	0.01472374051685755	3	0.6722106373612252	0.009257284375269998	3	0.7093698359154422	0.010650519252633318	3	expression_driven
DLPFC	statistic_variance	2000	graphst	0.5366128763523336	0.00907731752502971	3	0.9003871791320792	0.02062421801920744	3	0.7185000277422064	0.0072429874642354385	3	0.7382833284302217	0.011743759355512591	3	0.5628157097911769	0.02175398552665291	3	0.6505495191106992	0.016048338334649994	3	0.800926802528051	0.013784435114743905	3	0.6845247734264529	0.004410229302638575	3	0.7233254497936521	0.004036799042327265	3	expression_driven
DLPFC	triku	2000	graphst	0.5542916593437656	0.005082838802084942	3	0.9612969724336792	0.015898245812192447	3	0.7577943158887224	0.008945610199266948	3	0.7235208443550872	0.020065954874094287	3	0.6438607149238228	0.05269247970982655	3	0.683690779639455	0.027186874621895764	3	0.8768337907406004	0.008983887867653612	3	0.7207425477640887	0.00972726409216542	3	0.7727729620895926	0.005099815615148341	3	expression_driven
E8p5Embryo	Brennecke	2000	graphst	0.5564003835553527	0.006315926450427239	3			0	0.5564003835553527	0.006315926450427239	3	0.640683255616411	0.0027554542434905615	3			0	0.640683255616411	0.0027554542434905615	3			0	0.5985418195858818	0.0043550063567849105	3			0	expression_driven
E8p5Embryo	anticor	2000	graphst	0.508490586190199	0.008207037678560729	3			0	0.508490586190199	0.008207037678560729	3	0.6733619116824908	0.014142563748324536	3			0	0.6733619116824908	0.014142563748324536	3			0	0.590926248936345	0.011142829440431067	3			0	expression_driven
