dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	DirectionMultiplier	OrientedValue	Lower	Upper	Range	RangeStatus	FrozenScaleDenominator	ScaledValue
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	iLISI	0.1560525987	0	25.0277337022	7358.3046875	2000	cache_signature=11630b2f28fcf4f078dc190812647267	1	0.1560525987	0.1295350299	0.6596340276	0.5300989977	ok	0.5300989977	0.050023804827126164
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	dASW		0	25.0277337022	7358.3046875	2000	cache_signature=11630b2f28fcf4f078dc190812647267	1					unavailable		
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	dLISI		0	25.0277337022	7358.3046875	2000	cache_signature=11630b2f28fcf4f078dc190812647267	1					unavailable		
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	ILL		0	25.0277337022	7358.3046875	2000	cache_signature=11630b2f28fcf4f078dc190812647267	1					unavailable		
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	GC		0	25.0277337022	7358.3046875	2000	cache_signature=11630b2f28fcf4f078dc190812647267	1					unavailable		
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	clustering_eval	silhouette	0.1736512333	0	24.8400631044	7358.8671875	2000	cache_signature=95a65b977e2b41ed177317029c134308	1	0.1736512333	-0.1284756213	0.6791920066	0.8076676279	ok	0.8076676279	0.3740732501382454
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	clustering_eval	CHAOS	0.0554057251	0	24.8400631044	7358.8671875	2000	cache_signature=95a65b977e2b41ed177317029c134308	-1	-0.0554057251	-0.1368430974	-0.0532607287	0.0835823686999999	ok	0.0835823686999999	0.9743367359245481
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	clustering_eval	PAS	0.1779166667	0	24.8400631044	7358.8671875	2000	cache_signature=95a65b977e2b41ed177317029c134308	-1	-0.1779166667	-0.981	-0.0909166667	0.8900833333	ok	0.8900833333	0.9022563430353808
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	bASW	0.9879386937	2	26.1691366928	7205.61328125	2000	cache_signature=ab1cc9d07a0c8e1b82c99884f5f9b8c9	1	0.9879386937	0.8819584101	0.9997620521	0.117803642	ok	0.117803642	0.8996350350526514
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	iLISI	0.1622862808	2	26.1691366928	7205.61328125	2000	cache_signature=ab1cc9d07a0c8e1b82c99884f5f9b8c9	1	0.1622862808	0.1295350299	0.6596340276	0.5300989977	ok	0.5300989977	0.061783272637944094
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	dASW		2	26.1691366928	7205.61328125	2000	cache_signature=ab1cc9d07a0c8e1b82c99884f5f9b8c9	1					unavailable		
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	dLISI		2	26.1691366928	7205.61328125	2000	cache_signature=ab1cc9d07a0c8e1b82c99884f5f9b8c9	1					unavailable		
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	ILL		2	26.1691366928	7205.61328125	2000	cache_signature=ab1cc9d07a0c8e1b82c99884f5f9b8c9	1					unavailable		
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	GC		2	26.1691366928	7205.61328125	2000	cache_signature=ab1cc9d07a0c8e1b82c99884f5f9b8c9	1					unavailable		
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	clustering_eval	silhouette	0.1550246775	2	26.0036048098	7205.8984375	2000	cache_signature=30e0fa183b2c86652dc9fe30589c5514	1	0.1550246775	-0.1284756213	0.6791920066	0.8076676279	ok	0.8076676279	0.35101109541448794
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	clustering_eval	CHAOS	0.0567805093	2	26.0036048098	7205.8984375	2000	cache_signature=30e0fa183b2c86652dc9fe30589c5514	-1	-0.0567805093	-0.1368430974	-0.0532607287	0.0835823686999999	ok	0.0835823686999999	0.9578884798942064
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	clustering_eval	PAS	0.2099166667	2	26.0036048098	7205.8984375	2000	cache_signature=30e0fa183b2c86652dc9fe30589c5514	-1	-0.2099166667	-0.981	-0.0909166667	0.8900833333	ok	0.8900833333	0.8663046531173599
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	bASW	0.988978371	1	25.4305746974	10711.1640625	2000	cache_signature=fdebe6583fd08716017aa73b30a949c0	1	0.988978371	0.8819584101	0.9997620521	0.117803642	ok	0.117803642	0.9084605457274402
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	iLISI	0.1584698131	1	25.4305746974	10711.1640625	2000	cache_signature=fdebe6583fd08716017aa73b30a949c0	1	0.1584698131	0.1295350299	0.6596340276	0.5300989977	ok	0.5300989977	0.05458373497317029
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	dASW		1	25.4305746974	10711.1640625	2000	cache_signature=fdebe6583fd08716017aa73b30a949c0	1					unavailable		
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	dLISI		1	25.4305746974	10711.1640625	2000	cache_signature=fdebe6583fd08716017aa73b30a949c0	1					unavailable		
E8p5Embryo	Slide-seq	6	hotspot	2000	graphst	integration_eval	ILL		1	25.4305746974	10711.1640625	2000	cache_signature=fdebe6583fd08716017aa73b30a949c0	1					unavailable		
