dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	DirectionMultiplier	OrientedValue
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	clustering_eval	CHAOS	0.0606030253	0	25.5807253839	13339.8515625	2000	cache_signature=88b23dc548158b4c4653ccf2c66da553	-1	-0.0606030253
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	clustering_eval	PAS	0.0959166667	0	25.5807253839	13339.8515625	2000	cache_signature=88b23dc548158b4c4653ccf2c66da553	-1	-0.0959166667
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	alignment_eval	Accuracy	0.5778	0	24.4413617998	13339.8515625	2000	cache_signature=4dd8ce84e873d190df7b7e4e709bf1d9	1	0.5778
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	alignment_eval	Ratio	1.7593511738	0	24.4413617998	13339.8515625	2000	cache_signature=4dd8ce84e873d190df7b7e4e709bf1d9	-1	-1.7593511738
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	bASW	0.9166888371	2	26.1557776136	20530.10546875	2000	cache_signature=6879a96e08c1041df99bdbb942fb4036	1	0.9166888371
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	iLISI	0.1972250604	2	26.1557776136	20530.10546875	2000	cache_signature=6879a96e08c1041df99bdbb942fb4036	1	0.1972250604
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	dASW	0.5124671319	2	26.1557776136	20530.10546875	2000	cache_signature=6879a96e08c1041df99bdbb942fb4036	1	0.5124671319
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	dLISI	0.888471321	2	26.1557776136	20530.10546875	2000	cache_signature=6879a96e08c1041df99bdbb942fb4036	1	0.888471321
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	ILL	0.569381928	2	26.1557776136	20530.10546875	2000	cache_signature=6879a96e08c1041df99bdbb942fb4036	1	0.569381928
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	GC	0.9189219626	2	26.1557776136	20530.10546875	2000	cache_signature=6879a96e08c1041df99bdbb942fb4036	1	0.9189219626
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	clustering_eval	silhouette	0.2200829536	2	23.818575995	20530.10546875	2000	cache_signature=7de495faf61b9b25f1cad66a6ce6b0b5	1	0.2200829536
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	clustering_eval	ari	0.177684557	2	23.818575995	20530.10546875	2000	cache_signature=7de495faf61b9b25f1cad66a6ce6b0b5	1	0.177684557
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	clustering_eval	nmi	0.2904531386	2	23.818575995	20530.10546875	2000	cache_signature=7de495faf61b9b25f1cad66a6ce6b0b5	1	0.2904531386
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	clustering_eval	CHAOS	0.0596310815	2	23.818575995	20530.10546875	2000	cache_signature=7de495faf61b9b25f1cad66a6ce6b0b5	-1	-0.0596310815
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	clustering_eval	PAS	0.093	2	23.818575995	20530.10546875	2000	cache_signature=7de495faf61b9b25f1cad66a6ce6b0b5	-1	-0.093
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	alignment_eval	Accuracy	0.5732	2	22.6991013568	20530.10546875	2000	cache_signature=bd92d6f47cc1b115c1efe5dabcfbd01e	1	0.5732
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	alignment_eval	Ratio	1.7709857955	2	22.6991013568	20530.10546875	2000	cache_signature=bd92d6f47cc1b115c1efe5dabcfbd01e	-1	-1.7709857955
DLPFC	Visium	4	scanpy_pearson_batch	2000	graphst	integration_eval	bASW	0.9179168878	1	25.6292901235	14728.7578125	2000	cache_signature=0ad45626144467f25cfb13424771146c	1	0.9179168878
