dataset	fs_method	n_features	integration_method	Dataset	Integrator	Task	SeedSD	NSeeds
STOmics0218	scanpy_seurat_batch	2000	scvi	STOmics-0218	scVI	Clustering	0.0087763797155363	3
STOmics0218	scanpy_seurat_batch	2000	scvi	STOmics-0218	scVI	Core overall	0.001733845595036872	3
STOmics0218	scanpy_seurat_batch	2000	scvi	STOmics-0218	scVI	Integration	0.011594390410395904	3
STOmics0218	scanpy_seurat_v3	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.027392927477839453	3
STOmics0218	scanpy_seurat_v3	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.010884171309542409	3
STOmics0218	scanpy_seurat_v3	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.008128050122924663	3
STOmics0218	scanpy_seurat_v3	2000	scvi	STOmics-0218	scVI	Clustering	0.01234591431856926	3
STOmics0218	scanpy_seurat_v3	2000	scvi	STOmics-0218	scVI	Core overall	0.006947102477094833	3
STOmics0218	scanpy_seurat_v3	2000	scvi	STOmics-0218	scVI	Integration	0.016207632459522576	3
STOmics0218	scanpy_seurat_v3_batch	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.02368456310109361	3
STOmics0218	scanpy_seurat_v3_batch	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.009990456428430109	3
STOmics0218	scanpy_seurat_v3_batch	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.003822503233907462	3
STOmics0218	scanpy_seurat_v3_batch	2000	scvi	STOmics-0218	scVI	Clustering	0.027350958607363605	3
STOmics0218	scanpy_seurat_v3_batch	2000	scvi	STOmics-0218	scVI	Core overall	0.015196867396137055	3
STOmics0218	scanpy_seurat_v3_batch	2000	scvi	STOmics-0218	scVI	Integration	0.006034842592419651	3
STOmics0218	scry	2000	cellcharter	STOmics-0218	CellCharter	Clustering	0.020026568087653355	3
STOmics0218	scry	2000	cellcharter	STOmics-0218	CellCharter	Core overall	0.009822369912814443	3
STOmics0218	scry	2000	cellcharter	STOmics-0218	CellCharter	Integration	0.004277201935552522	3
