fs_method	integration_method	task	NRuns	RuntimeMedianSeconds	RuntimeIQRSeconds	RuntimeMaximumSeconds	PeakMemoryMedianGiB	PeakMemoryMaximumGiB
scanpy_seurat_v3	scvi	integration_eval	63	22.4933354501	13.237417685799997	144.3336558836	7.154644012451172	30.044193267822266
scanpy_seurat_v3_batch	cellcharter	alignment_eval	18	32.3514117179	22.48600438725	169.7087415243	8.161090850830078	18.190723419189453
scanpy_seurat_v3_batch	cellcharter	clustering_eval	63	39.3640722819	14.37608733775	170.0390900783	8.161090850830078	30.044193267822266
scanpy_seurat_v3_batch	cellcharter	integration_eval	63	41.4525722302	14.418606972300005	172.4583150204	8.161090850830078	30.044193267822266
scanpy_seurat_v3_batch	scvi	alignment_eval	18	15.228211470849999	20.44411628015	150.8900169972	8.161090850830078	18.190723419189453
scanpy_seurat_v3_batch	scvi	clustering_eval	63	21.070744684	10.713866906300002	151.7256061183	8.161090850830078	30.044193267822266
scanpy_seurat_v3_batch	scvi	integration_eval	63	22.4547717618	10.10673427955	153.4131039185	8.161090850830078	30.044193267822266
scry	cellcharter	alignment_eval	18	96.34684123055	59.807346341449986	416.7477558386	14.979270935058594	23.761280059814453
scry	cellcharter	clustering_eval	63	98.8916720785	63.87846851069999	417.89546532	13.712387084960938	44.19995880126953
scry	cellcharter	integration_eval	63	98.9204891995	66.15103420895002	421.0623928057	13.712387084960938	44.19995880126953
scry	scvi	alignment_eval	18	75.08894895015001	58.63518037389999	303.9655021625	14.795782089233398	23.46676254272461
scry	scvi	clustering_eval	63	78.6647536298	64.17181123705001	304.9859869229	13.616741180419922	43.46981430053711
scry	scvi	integration_eval	63	78.9623691542	65.535750343	307.003241674	13.616741180419922	43.46981430053711
scsegindex	cellcharter	alignment_eval	16	693.89336133795	595.1408079806749	1209.7953823945	12.747709274291992	19.06957244873047
scsegindex	cellcharter	clustering_eval	56	309.7729318421	959.4079593243	1890.9656070573	11.399456024169922	39.47893142700195
scsegindex	cellcharter	integration_eval	56	310.2608051705	961.5246829779751	1892.9131401591	11.399456024169922	39.47893142700195
scsegindex	scvi	alignment_eval	16	678.29479921095	594.2781967867752	1192.5225422103	12.747709274291992	19.06957244873047
scsegindex	scvi	clustering_eval	56	291.7325252681	958.82968682635	1867.7634458449	11.399456024169922	39.47893142700195
scsegindex	scvi	integration_eval	56	291.98432189460004	959.9810885142	1869.0229858151	11.399456024169922	39.47893142700195
seurat_disp	cellcharter	alignment_eval	18	57.03585897665	13.080349932825001	203.0086309938	12.063199996948242	18.190723419189453
seurat_disp	cellcharter	clustering_eval	63	63.2950934581	31.09973575640001	234.0567369368	11.336566925048828	39.47893142700195
seurat_disp	cellcharter	integration_eval	63	65.0429984927	32.41409127319999	234.483189946	11.336566925048828	39.47893142700195
seurat_disp	scvi	alignment_eval	18	38.4807026987	12.019692451224998	158.5580985807	12.063199996948242	18.190723419189453
