Method	Type	SelFeatures	Value	SD	StandardValue
SOMDE	Overall	2000	0.6361368240172173	0.5219613090480554	0.2503331284472163
SOMDE	Overall	5000	0.6117771722251644	0.9440988849671645	-0.2192283013264037
SOMDE	Overall	10000	0.5857483441614503	0.964472202109254	-0.9437799562793512
SPARK-X	Integration	100	0.6865178031673257	0.8787960313024583	1.1347836308768424
SPARK-X	Integration	200	0.6564711674081836	0.5707825683400177	0.5225414016289001
SPARK-X	Integration	500	0.6461200788715726	0.6547102811666328	0.16525041828545425
SPARK-X	Integration	1000	0.6252678603522259	0.570138168178146	-0.018793563662007313
SPARK-X	Integration	2000	0.609209442701879	0.5511071822520086	-0.18400886042443257
SPARK-X	Integration	5000	0.5610041290711408	0.549385567276504	-0.8156027443397189
SPARK-X	Integration	10000	0.5591042925991937	0.9188620751680673	-0.8041702823650366
SPARK-X	Clustering	100	0.5832457131623972	1.2510093357129082	-0.8504755171275483
SPARK-X	Clustering	200	0.6186268573314783	0.9740910662120611	0.23592739347374542
SPARK-X	Clustering	500	0.6289540134787712	0.6202424772698039	0.2975192658247084
SPARK-X	Clustering	1000	0.6261079902585267	0.47493136605598313	0.41423548116349385
SPARK-X	Clustering	2000	0.6162022651803465	0.5867446786094249	0.11781719982869589
SPARK-X	Clustering	5000	0.6169216433514961	0.9801943437973257	0.13102257497362574
SPARK-X	Clustering	10000	0.5939328611516945	0.8665714304742294	-0.34604639813672283
SPARK-X	Alignment	100	0.8746269201912134	1.1193079935580224	-0.24685393096558
SPARK-X	Alignment	200	0.8865825359585655	0.5079941774530866	0.3496613576004695
SPARK-X	Alignment	500	0.8865832265043732	0.16550901958924039	0.6507120742499375
SPARK-X	Alignment	1000	0.8723230367280452	0.38743067844654705	0.5184500475673836
SPARK-X	Alignment	2000	0.8291075327652143	0.9048883448800966	0.6889431923183057
SPARK-X	Alignment	5000	0.7192744799776891	0.645486448677932	-0.6769151651656998
SPARK-X	Alignment	10000	0.6946966137485987	0.6832928594596545	-1.2839975756048112
SPARK-X	Overall	100	0.6348817581648615	1.3478984858311993	-0.14699243767031872
SPARK-X	Overall	200	0.6375490123698309	0.7433443346065152	0.3990617104948278
SPARK-X	Overall	500	0.6375370461751719	0.5353445998779792	0.4798726345284999
SPARK-X	Overall	1000	0.6256879253053763	0.625804193116927	0.24546226529781634
SPARK-X	Overall	2000	0.6127058539411128	0.726781755077074	0.08522995689789743
SPARK-X	Overall	5000	0.5889628862113185	0.9950933906971247	-0.2846922472413226
SPARK-X	Overall	10000	0.57651857687544406	0.8006240809600098	-0.7779418823074039
