Method	IntegrationMethod	Type	Mean	SD	Integration
Statistic mean (N=2,000)	graphst	Integration	0.5079048161087932	0.17102629216030385	GraphST
Statistic mean (N=2,000)	graphst	CoreOverall	0.593076812555726	0.11077609854035346	GraphST
Statistic mean (N=2,000)	scvi	Alignment	0.6671170976574092	0.09847781146477926	scVI
Statistic mean (N=2,000)	scvi	Clustering	0.49588228658713407	0.1554099659486759	scVI
Statistic mean (N=2,000)	scvi	Integration	0.6294648501312105	0.15108136799443142	scVI
Statistic mean (N=2,000)	scvi	CoreOverall	0.5626735683591723	0.09418265105070325	scVI
Statistic variance (N=2,000)	cellcharter	Alignment	0.9427327001810848	0.03220115155531282	CellCharter
Statistic variance (N=2,000)	cellcharter	Clustering	0.6684898714042784	0.09356911186943519	CellCharter
Statistic variance (N=2,000)	cellcharter	Integration	0.6212450913723653	0.11186923406964147	CellCharter
Statistic variance (N=2,000)	cellcharter	CoreOverall	0.6448674813883217	0.09561744192438151	CellCharter
Statistic variance (N=2,000)	graphst	Alignment	0.8602401449390018	0.08388173326724586	GraphST
Statistic variance (N=2,000)	graphst	Clustering	0.6914331781089175	0.07799908425937609	GraphST
Statistic variance (N=2,000)	graphst	Integration	0.5103531878053523	0.18569980564616015	GraphST
Statistic variance (N=2,000)	graphst	CoreOverall	0.6008931829571349	0.11309275918795997	GraphST
Statistic variance (N=2,000)	scvi	Alignment	0.5874379358023119	0.28110747490443505	scVI
Statistic variance (N=2,000)	scvi	Clustering	0.5343701832494256	0.1650645182554985	scVI
Statistic variance (N=2,000)	scvi	Integration	0.6320229291222974	0.17438250394135346	scVI
Statistic variance (N=2,000)	scvi	CoreOverall	0.5831965561858615	0.08702765430157507	scVI
nnSVG (N=2,000)	cellcharter	Alignment	0.9416835166040234	0.03410850021419542	CellCharter
nnSVG (N=2,000)	cellcharter	Clustering	0.682386795009728	0.07211032141126222	CellCharter
nnSVG (N=2,000)	cellcharter	Integration	0.6183055960366112	0.12085017936855562	CellCharter
nnSVG (N=2,000)	cellcharter	CoreOverall	0.6503461955231696	0.09146038876604648	CellCharter
nnSVG (N=2,000)	graphst	Alignment	0.8804598482718993	0.06085707506375103	GraphST
nnSVG (N=2,000)	graphst	Clustering	0.7170646640139212	0.07119304332749309	GraphST
nnSVG (N=2,000)	graphst	Integration	0.5299096368690871	0.18252676523801414	GraphST
nnSVG (N=2,000)	graphst	CoreOverall	0.6234871504415042	0.11080528009107625	GraphST
nnSVG (N=2,000)	scvi	Alignment	0.7784453798803472	0.006042861071645319	scVI
nnSVG (N=2,000)	scvi	Clustering	0.556188410115257	0.13755622125366154	scVI
nnSVG (N=2,000)	scvi	Integration	0.6561559114156514	0.09428497238181968	scVI
nnSVG (N=2,000)	scvi	CoreOverall	0.6061721607654542	0.07103451522512957	scVI
scPNMF (N=2,000)	cellcharter	Alignment	0.9225033167416854	0.05283517292312316	CellCharter
scPNMF (N=2,000)	cellcharter	Clustering	0.685169983692583	0.07750487467834466	CellCharter
scPNMF (N=2,000)	cellcharter	Integration	0.5990232656193476	0.1122478945976001	CellCharter
scPNMF (N=2,000)	cellcharter	CoreOverall	0.6420966246559653	0.08575186464821541	CellCharter
scPNMF (N=2,000)	graphst	Alignment	0.8334003351456043	0.10383298493312278	GraphST
scPNMF (N=2,000)	graphst	Clustering	0.7221819470130895	0.07800920418990213	GraphST
scPNMF (N=2,000)	graphst	Integration	0.5198607114645157	0.16764301347531313	GraphST
scPNMF (N=2,000)	graphst	CoreOverall	0.6210213292388026	0.10306750970153743	GraphST
scPNMF (N=2,000)	scvi	Alignment	0.6455586889625424	0.15252821102195893	scVI
scPNMF (N=2,000)	scvi	Clustering	0.5388506058331675	0.1443874976693854	scVI
scPNMF (N=2,000)	scvi	Integration	0.6501752730874751	0.14426910612378194	scVI
scPNMF (N=2,000)	scvi	CoreOverall	0.5945129394603214	0.0764431074306254	scVI
scanpy-CellRanger (N=2,000)	cellcharter	Alignment	0.8997963496019514	0.07966847350227488	CellCharter
scanpy-CellRanger (N=2,000)	cellcharter	Clustering	0.7192299330656879	0.060063684276877666	CellCharter
scanpy-CellRanger (N=2,000)	cellcharter	Integration	0.6125557241928885	0.14115485133786396	CellCharter
scanpy-CellRanger (N=2,000)	cellcharter	CoreOverall	0.6658928286292882	0.07399816041674077	CellCharter
scanpy-CellRanger (N=2,000)	graphst	Alignment	0.8525770345858622	0.10062951515396651	GraphST
scanpy-CellRanger (N=2,000)	graphst	Clustering	0.7340675225620107	0.07420705597242551	GraphST
scanpy-CellRanger (N=2,000)	graphst	Integration	0.5804279304987441	0.14172185475079604	GraphST
scanpy-CellRanger (N=2,000)	graphst	CoreOverall	0.6572477265303774	0.07922305495853126	GraphST
scanpy-CellRanger (N=2,000)	scvi	Alignment	0.8495027650188252	0.1614128511206343	scVI
scanpy-CellRanger (N=2,000)	scvi	Clustering	0.5042459774079535	0.20610519946279748	scVI
scanpy-CellRanger (N=2,000)	scvi	Integration	0.7263874784644514	0.08753311420335845	scVI
scanpy-CellRanger (N=2,000)	scvi	CoreOverall	0.6153167279362024	0.10766852588229887	scVI
scanpy-CellRanger (batch) (N=2,000)	cellcharter	Alignment	0.9000485386351276	0.08150047633578522	CellCharter
scanpy-CellRanger (batch) (N=2,000)	cellcharter	Clustering	0.7202499920272688	0.0501943847254769	CellCharter
scanpy-CellRanger (batch) (N=2,000)	cellcharter	Integration	0.6292946873846165	0.12598108252109458	CellCharter
