dataset	heldout_slice	method	heldout_topn_jaccard	heldout_moran_percentile	heldout_rank_spearman	heldout_silhouette	heldout_ari	heldout_nmi	heldout_CHAOS	heldout_PAS	Dataset	Fold	Method
STOmics0212	GSM5907093_HE_3	random	0.0520778537611783	0.5093799277342845	0.0106626093748878	0.0942392870783805	0.1098873128319989	0.169930061314594	0.059375511578614	0.34181240063593	STOmics-0212	HE 3	Random (N=2,000)
STOmics0212	GSM5907093_HE_3	scanpy_cell_ranger_batch	0.1123470522803114	0.6549950433131052	0.174850803543719	0.1104729399085044	0.1882387216295044	0.281913846548842	0.0590938560888759	0.2257551669316375	STOmics-0212	HE 3	scanpy-CellRanger (batch) (N=2,000)
STOmics0212	GSM5907093_HE_3	scanpy_seurat_v3_batch	0.1232799775344004	0.6619392226803168	0.1797488777116258	0.1909734904766082	0.2331046382855319	0.3518749079989564	0.0568498217715106	0.095389507154213	STOmics-0212	HE 3	scanpy-SeuratV3 (batch) (N=2,000)
STOmics0212	GSM5907093_HE_3	scsegindex	0.1120378092855157	0.7050380321489785	0.2243973830756005	0.1152997985482215	0.1214858442442482	0.1599241562404777	0.0583187023132387	0.3259141494435612	STOmics-0212	HE 3	scSEGIndex (N=2,000)
STOmics0212	GSM5907093_HE_3	seurat_vst	0.136040897472309	0.6439414925649696	0.16102627229198	0.1928302347660064	0.2006543227654414	0.3296298819642155	0.0594585301293364	0.1494435612082671	STOmics-0212	HE 3	Seurat-VST (N=2,000)
STOmics0212	GSM5907093_HE_3	singleCellHaystack	0.154068090017311	0.7367151294760735	0.2605419964204475	0.1977877020835876	0.1167606064435625	0.1750160486509124	0.061102618702843	0.2702702702702703	STOmics-0212	HE 3	singleCellHaystack (N=2,000)
STOmics0212	GSM5907093_HE_3	somde	0.1806375442739079	0.7242135776161579	0.2506183146518231	0.144601285457611	0.2535316688061601	0.3282721525987452	0.0586091969685166	0.2209856915739268	STOmics-0212	HE 3	SOMDE (N=2,000)
STOmics0212	GSM5907093_HE_3	sparkx	0.1965300628178283	0.7721211145596888	0.3042134931368618	0.138826847076416	0.12680197294097	0.1795513201898562	0.0580996265629828	0.2988871224165342	STOmics-0212	HE 3	SPARK-X (N=2,000)
STOmics0212	GSM5907093_HE_3	spatialde	0.2449424214130096	0.7946603742993468	0.3294564892661507	0.141959398984909	0.1999278936680533	0.269059319539589	0.0580837413707089	0.2337042925278219	STOmics-0212	HE 3	SpatialDE (N=2,000)
STOmics0212	GSM5907093_HE_3	triku	0.1747430249632892	0.7062081808495855	0.2267116593091071	0.1335100680589676	0.2596262884027043	0.3223572654821871	0.057441656520345	0.2257551669316375	STOmics-0212	HE 3	triku (N=2,000)
