dataset	fs_method	n_features	MethodGroup	Dataset	Method	Task	Difference
E9p5Embryo	Brennecke	2000	expression_driven	E9.5 Embryo	Brennecke	Clustering	0.3412297338737308
E9p5Embryo	anticor	2000	expression_driven	E9.5 Embryo	Anticor	Core overall	0.056421387494448805
E9p5Embryo	anticor	2000	expression_driven	E9.5 Embryo	Anticor	Integration	-0.1561362652503121
E9p5Embryo	anticor	2000	expression_driven	E9.5 Embryo	Anticor	Clustering	0.26897904023920943
E9p5Embryo	dubstepr	2000	expression_driven	E9.5 Embryo	DUBStepR	Core overall	0.02776587086200677
E9p5Embryo	dubstepr	2000	expression_driven	E9.5 Embryo	DUBStepR	Integration	-0.2072813367733366
E9p5Embryo	dubstepr	2000	expression_driven	E9.5 Embryo	DUBStepR	Clustering	0.26281307849735003
E9p5Embryo	hotspot	2000	expression_driven	E9.5 Embryo	Hotspot	Core overall	0.04619356226204696
E9p5Embryo	hotspot	2000	expression_driven	E9.5 Embryo	Hotspot	Integration	-0.18416121217300901
E9p5Embryo	hotspot	2000	expression_driven	E9.5 Embryo	Hotspot	Clustering	0.27654833669710305
E9p5Embryo	morans_i	2000	spatially_informed	E9.5 Embryo	Moran's I	Core overall	0.02594113788684016
E9p5Embryo	morans_i	2000	spatially_informed	E9.5 Embryo	Moran's I	Integration	-0.19195294087935233
E9p5Embryo	morans_i	2000	spatially_informed	E9.5 Embryo	Moran's I	Clustering	0.24383521665303276
E9p5Embryo	nbumi	2000	expression_driven	E9.5 Embryo	NBumi	Core overall	0.03418810109383996
E9p5Embryo	nbumi	2000	expression_driven	E9.5 Embryo	NBumi	Integration	-0.16715905903221318
E9p5Embryo	nbumi	2000	expression_driven	E9.5 Embryo	NBumi	Clustering	0.23553526121989316
E9p5Embryo	nnsvg	2000	spatially_informed	E9.5 Embryo	nnSVG	Core overall	0.025691985076664703
E9p5Embryo	nnsvg	2000	spatially_informed	E9.5 Embryo	nnSVG	Integration	-0.20317070896555445
E9p5Embryo	nnsvg	2000	spatially_informed	E9.5 Embryo	nnSVG	Clustering	0.2545546791188839
E9p5Embryo	osca	2000	expression_driven	E9.5 Embryo	OSCA	Core overall	0.03462663925809517
E9p5Embryo	osca	2000	expression_driven	E9.5 Embryo	OSCA	Integration	-0.18156873492683645
E9p5Embryo	osca	2000	expression_driven	E9.5 Embryo	OSCA	Clustering	0.25082201344302685
E9p5Embryo	scPNMF	2000	expression_driven	E9.5 Embryo	scPNMF	Core overall	0.018651483038300443
E9p5Embryo	scPNMF	2000	expression_driven	E9.5 Embryo	scPNMF	Integration	-0.20380310271015434
E9p5Embryo	scPNMF	2000	expression_driven	E9.5 Embryo	scPNMF	Clustering	0.24110606878675517
E9p5Embryo	scanpy_cell_ranger	2000	expression_driven	E9.5 Embryo	Scanpy Cell Ranger	Core overall	0.07655034501948099
E9p5Embryo	scanpy_cell_ranger	2000	expression_driven	E9.5 Embryo	Scanpy Cell Ranger	Integration	-0.194293854929942
E9p5Embryo	scanpy_cell_ranger	2000	expression_driven	E9.5 Embryo	Scanpy Cell Ranger	Clustering	0.3473945449689041
E9p5Embryo	scanpy_cell_ranger_batch	2000	expression_driven	E9.5 Embryo	Scanpy Cell Ranger, batch	Core overall	0.07622005108941177
E9p5Embryo	scanpy_cell_ranger_batch	2000	expression_driven	E9.5 Embryo	Scanpy Cell Ranger, batch	Integration	-0.1978185059751585
E9p5Embryo	scanpy_cell_ranger_batch	2000	expression_driven	E9.5 Embryo	Scanpy Cell Ranger, batch	Clustering	0.3502586081539817
E9p5Embryo	scanpy_pearson	2000	expression_driven	E9.5 Embryo	Scanpy Pearson	Core overall	0.051816740870618716
E9p5Embryo	scanpy_pearson	2000	expression_driven	E9.5 Embryo	Scanpy Pearson	Integration	-0.20042496412782074
E9p5Embryo	scanpy_pearson	2000	expression_driven	E9.5 Embryo	Scanpy Pearson	Clustering	0.30405844586905834
E9p5Embryo	scanpy_pearson_batch	2000	expression_driven	E9.5 Embryo	Scanpy Pearson, batch	Core overall	0.07275960184119978
E9p5Embryo	scanpy_pearson_batch	2000	expression_driven	E9.5 Embryo	Scanpy Pearson, batch	Integration	-0.1786264439034152
E9p5Embryo	scanpy_pearson_batch	2000	expression_driven	E9.5 Embryo	Scanpy Pearson, batch	Clustering	0.32414564758581493
E9p5Embryo	scanpy_seurat	2000	expression_driven	E9.5 Embryo	Scanpy Seurat	Core overall	0.06917959445006217
E9p5Embryo	scanpy_seurat	2000	expression_driven	E9.5 Embryo	Scanpy Seurat	Integration	-0.20286198118078003
E9p5Embryo	scanpy_seurat	2000	expression_driven	E9.5 Embryo	Scanpy Seurat	Clustering	0.34122117008090436
E9p5Embryo	scanpy_seurat_batch	2000	expression_driven	E9.5 Embryo	Scanpy Seurat, batch	Core overall	0.05915365956779328
E9p5Embryo	scanpy_seurat_batch	2000	expression_driven	E9.5 Embryo	Scanpy Seurat, batch	Integration	-0.16955246133921065
