Dataset	Type	SelFeatures	Value	SD	StandardValue
STOmics-0212	Clustering	200	0.6633834132647337	0.8495565055256716	0.3070558341799193
STOmics-0212	Clustering	500	0.6798897152386689	0.8337004826571063	0.5461850523870996
STOmics-0212	Clustering	1000	0.6690370521687333	0.6199827299149766	0.30139297776563617
STOmics-0212	Clustering	2000	0.6574121123081881	0.703047672478818	0.04104939809883458
STOmics-0212	Clustering	5000	0.6412950817970211	0.7693349467958479	-0.3065382665241949
STOmics-0212	Clustering	10000	0.6185407409549067	0.7846111016437718	-0.7808040660014622
STOmics-0212	Overall	100	0.5746531220609263	1.0479924450125746	0.11576117024105725
STOmics-0212	Overall	200	0.582146548019182	0.8647051388537758	0.43723257054463033
STOmics-0212	Overall	500	0.5843845651732541	0.6715638736828947	0.521889246666653
STOmics-0212	Overall	1000	0.5775350720473305	0.5677242590278255	0.21125234007632593
STOmics-0212	Overall	2000	0.57396312930172	0.6635215728479181	0.13355478536110896
STOmics-0212	Overall	5000	0.5589545727613429	0.7336301174229927	-0.3305655526612932
STOmics-0212	Overall	10000	0.5354584456089211	0.8002591504758634	-1.0891245602284805
STOmics-0218	Integration	100	0.734610254011056	1.254181064423657	-0.3822727585124015
STOmics-0218	Integration	200	0.749605308311058	0.9238268477433605	0.235704335652247
STOmics-0218	Integration	500	0.7507623784658155	0.8366779682108396	0.07042627846375607
STOmics-0218	Integration	1000	0.7508342375718373	0.5660818904576609	0.20552672405956737
STOmics-0218	Integration	2000	0.7533302918507405	0.48007076058665954	0.34730022348852363
STOmics-0218	Integration	5000	0.7466313568630466	0.8188053199954091	-0.09209606629002753
STOmics-0218	Integration	10000	0.740877983257831	1.1055876992919853	-0.3845887368616614
STOmics-0218	Clustering	100	0.6530179663831099	0.8887598138440275	-1.2375214005761275
STOmics-0218	Clustering	200	0.6916100929845518	0.7034915169632268	-0.44934210734366076
STOmics-0218	Clustering	500	0.7239978380719952	0.8491429046442143	0.10273543300866525
STOmics-0218	Clustering	1000	0.7353255161808246	0.6935603038642004	0.3771958492509838
STOmics-0218	Clustering	2000	0.7379437938286596	0.5040634622501119	0.4478760887896977
STOmics-0218	Clustering	5000	0.7383382809666165	0.6642322225316716	0.40599616557178897
STOmics-0218	Clustering	10000	0.7382486326863429	0.7107388770833849	0.3530599712986524
STOmics-0218	Overall	100	0.693814110197083	0.8494947674205979	-1.2108347658509464
STOmics-0218	Overall	200	0.7206077006478049	0.8033097981452012	-0.33344981882589864
STOmics-0218	Overall	500	0.7373801082689054	0.7927056165830506	0.12755204997227632
STOmics-0218	Overall	1000	0.7430798768763309	0.6945345133884601	0.4110673625431131
STOmics-0218	Overall	2000	0.7456370428397001	0.41846683048511407	0.5148257486132182
STOmics-0218	Overall	5000	0.7424848189148315	0.7342124379541318	0.334226948188645
STOmics-0218	Overall	10000	0.739563307972087	0.8435485552881676	0.15661247535959502
STOmics-0224	Integration	100	0.6131106762515519	0.9978636075328953	0.10336402322498185
STOmics-0224	Integration	200	0.6104962022514043	0.7221120991282962	0.24777985404192068
STOmics-0224	Integration	500	0.6083054088394771	0.7546805830915886	0.3341117892635508
STOmics-0224	Integration	1000	0.5990900949231224	0.7099590736826805	0.0616176686140509
STOmics-0224	Integration	2000	0.5976769973241521	0.48743982104246153	0.10877768550135478
STOmics-0224	Integration	5000	0.5751842847923233	0.8144750013896358	-0.14134386568653842
STOmics-0224	Integration	10000	0.5291357272810352	1.3679118311977958	-0.7143071549593191
STOmics-0224	Clustering	100	0.4927935972962017	1.2637219800916046	-0.915199001399095
STOmics-0224	Clustering	200	0.5407267042773592	0.7304195710877823	-0.5305333686136675
STOmics-0224	Clustering	500	0.588677374975676	0.66303110381462	0.050789305429442815
STOmics-0224	Clustering	1000	0.6161276435441448	0.6364753520377026	0.295866379255345
STOmics-0224	Clustering	2000	0.6391640398817677	0.5620525794208995	0.44829540619175645
STOmics-0224	Clustering	5000	0.6510333362252178	0.7099139280804025	0.4426553365026771
STOmics-0224	Clustering	10000	0.6394664986807408	0.7948761232271223	0.20812594263353995
STOmics-0224	Overall	100	0.5529521367738768	1.075604003674146	-0.7044786580140644
STOmics-0224	Overall	200	0.5756114532643818	0.7379430605859646	-0.3383761238756283
STOmics-0224	Overall	500	0.5984913919075766	0.7501745337682117	0.20674300937203968
STOmics-0224	Overall	1000	0.6076088692336336	0.7675553104959734	0.29945123493478704
STOmics-0224	Overall	2000	0.6184205186029599	0.5843024676913471	0.48750996947810665
STOmics-0224	Overall	5000	0.6131088105087705	0.7862170871489741	0.3489395892952843
STOmics-0224	Overall	10000	0.584301112980888	1.0387049316449164	-0.2997890211905261
