Method	IntegrationMethod	Type	MeanRank	SDRank	Integration
scanpy-CellRanger (N=2,000)	cellcharter	Integration	12.428571428571429	8.423323628614833	CellCharter
scanpy-CellRanger (N=2,000)	cellcharter	CoreOverall	13	11.647603473104098	CellCharter
scanpy-CellRanger (N=2,000)	graphst	Alignment	11.285714285714286	3.8606685826112948	GraphST
scanpy-CellRanger (N=2,000)	graphst	Clustering	11.714285714285714	9.961831921795069	GraphST
scanpy-CellRanger (N=2,000)	graphst	Integration	9.571428571428571	6.214422549122937	GraphST
scanpy-CellRanger (N=2,000)	graphst	CoreOverall	7.428571428571429	7.913219801006896	GraphST
scanpy-CellRanger (N=2,000)	scvi	Alignment	11.142857142857142	7.197883286739499	scVI
scanpy-CellRanger (N=2,000)	scvi	Clustering	18.714285714285715	9.995236960911027	scVI
scanpy-CellRanger (N=2,000)	scvi	Integration	6.714285714285714	5.529143565818179	scVI
scanpy-CellRanger (N=2,000)	scvi	CoreOverall	14.571428571428571	10.690449676496975	scVI
scanpy-CellRanger (batch) (N=2,000)	cellcharter	Alignment	15.428571428571429	7.699721701835352	CellCharter
scanpy-CellRanger (batch) (N=2,000)	cellcharter	Clustering	17.285714285714285	12.188988004400882	CellCharter
scanpy-CellRanger (batch) (N=2,000)	cellcharter	Integration	8	6.506407098647712	CellCharter
scanpy-CellRanger (batch) (N=2,000)	cellcharter	CoreOverall	8	7.724420150837645	CellCharter
scanpy-CellRanger (batch) (N=2,000)	graphst	Alignment	10.428571428571429	4.7207747548166585	GraphST
scanpy-CellRanger (batch) (N=2,000)	graphst	Clustering	12.857142857142858	8.571825387640049	GraphST
scanpy-CellRanger (batch) (N=2,000)	graphst	Integration	7.285714285714286	3.9880774697543058	GraphST
scanpy-CellRanger (batch) (N=2,000)	graphst	CoreOverall	6.857142857142857	6.743603671345943	GraphST
scanpy-CellRanger (batch) (N=2,000)	scvi	Alignment	12	7.979139469057215	scVI
scanpy-CellRanger (batch) (N=2,000)	scvi	Clustering	18	8.621678104251709	scVI
scanpy-CellRanger (batch) (N=2,000)	scvi	Integration	6	5.5377492419453835	scVI
scanpy-CellRanger (batch) (N=2,000)	scvi	CoreOverall	12.857142857142858	11.393398255547982	scVI
scanpy-Pearson (N=2,000)	cellcharter	Alignment	11	4.123105625617661	CellCharter
scanpy-Pearson (N=2,000)	cellcharter	Clustering	9.571428571428571	7.230886134196436	CellCharter
scanpy-Pearson (N=2,000)	cellcharter	Integration	23.857142857142858	4.18045338165497	CellCharter
scanpy-Pearson (N=2,000)	cellcharter	CoreOverall	16.428571428571427	8.121107126025425	CellCharter
scanpy-Pearson (N=2,000)	graphst	Alignment	15.857142857142858	6.644009116704849	GraphST
scanpy-Pearson (N=2,000)	graphst	Clustering	15.142857142857142	6.491753010001008	GraphST
scanpy-Pearson (N=2,000)	graphst	Integration	17.857142857142858	8.335237877600763	GraphST
scanpy-Pearson (N=2,000)	graphst	CoreOverall	16.285714285714285	8.199883855158879	GraphST
scanpy-Pearson (N=2,000)	scvi	Alignment	14.285714285714286	4.8550415622761225	scVI
scanpy-Pearson (N=2,000)	scvi	Clustering	12.571428571428571	5.223572942509206	scVI
scanpy-Pearson (N=2,000)	scvi	Integration	17.285714285714285	6.626066850308854	scVI
scanpy-Pearson (N=2,000)	scvi	CoreOverall	11.571428571428571	5.094347941825426	scVI
scanpy-Pearson (batch) (N=2,000)	cellcharter	Alignment	13.142857142857142	4.3369947901195145	CellCharter
scanpy-Pearson (batch) (N=2,000)	cellcharter	Clustering	14.714285714285714	3.498298906339371	CellCharter
scanpy-Pearson (batch) (N=2,000)	cellcharter	Integration	15.285714285714286	9.123491395189411	CellCharter
scanpy-Pearson (batch) (N=2,000)	cellcharter	CoreOverall	15.571428571428571	9.519403742832196	CellCharter
scanpy-Pearson (batch) (N=2,000)	graphst	Alignment	16.571428571428573	6.106202935189288	GraphST
scanpy-Pearson (batch) (N=2,000)	graphst	Clustering	16.857142857142858	11.11198409268977	GraphST
scanpy-Pearson (batch) (N=2,000)	graphst	Integration	8.857142857142858	8.254868693253524	GraphST
scanpy-Pearson (batch) (N=2,000)	graphst	CoreOverall	11.428571428571429	8.96022958889527	GraphST
scanpy-Pearson (batch) (N=2,000)	scvi	Alignment	14.571428571428571	2.699206232527312	scVI
scanpy-Pearson (batch) (N=2,000)	scvi	Clustering	18.285714285714285	6.651172470932869	scVI
scanpy-Pearson (batch) (N=2,000)	scvi	Integration	14	4.898979485566356	scVI
scanpy-Pearson (batch) (N=2,000)	scvi	CoreOverall	17	7.916228058025278	scVI
scanpy-Seurat (N=2,000)	cellcharter	Alignment	15.714285714285714	4.535573676110727	CellCharter
scanpy-Seurat (N=2,000)	cellcharter	Clustering	19.714285714285715	8.159131606453506	CellCharter
scanpy-Seurat (N=2,000)	cellcharter	Integration	11.857142857142858	10.526610271570037	CellCharter
scanpy-Seurat (N=2,000)	cellcharter	CoreOverall	14.857142857142858	10.253919111386491	CellCharter
scanpy-Seurat (N=2,000)	graphst	Alignment	16.285714285714285	3.946064947695181	GraphST
scanpy-Seurat (N=2,000)	graphst	Clustering	21.142857142857142	5.9281411203561225	GraphST
scanpy-Seurat (N=2,000)	graphst	Integration	14	7.52772652709081	GraphST
scanpy-Seurat (N=2,000)	graphst	CoreOverall	17.285714285714285	5.55920515044749	GraphST
scanpy-Seurat (N=2,000)	scvi	Alignment	14.571428571428571	6.425396041156863	scVI
scanpy-Seurat (N=2,000)	scvi	Clustering	22.857142857142858	8.532849688675162	scVI
scanpy-Seurat (N=2,000)	scvi	Integration	8.285714285714286	10.193368525897702	scVI
scanpy-Seurat (N=2,000)	scvi	CoreOverall	19.714285714285715	8.400680244565232	scVI
scanpy-Seurat (batch) (N=2,000)	cellcharter	Alignment	15.428571428571429	4.391550328268399	CellCharter
scanpy-Seurat (batch) (N=2,000)	cellcharter	Clustering	18.714285714285715	5.992058236095666	CellCharter
scanpy-Seurat (batch) (N=2,000)	cellcharter	Integration	13.428571428571429	9.162553189607193	CellCharter
scanpy-Seurat (batch) (N=2,000)	cellcharter	CoreOverall	15.714285714285714	9.393513466115607	CellCharter
scanpy-Seurat (batch) (N=2,000)	graphst	Alignment	14.714285714285714	5.794085654478071	GraphST
scanpy-Seurat (batch) (N=2,000)	graphst	Clustering	20.571428571428573	5.31843156256751	GraphST
scanpy-Seurat (batch) (N=2,000)	graphst	Integration	8.142857142857142	6.718843437888484	GraphST
scanpy-Seurat (batch) (N=2,000)	graphst	CoreOverall	13.714285714285714	5.618845839799182	GraphST
scanpy-Seurat (batch) (N=2,000)	scvi	Alignment	15	2.886751345948129	scVI
scanpy-Seurat (batch) (N=2,000)	scvi	Clustering	20.857142857142858	7.151423434733616	scVI
scanpy-Seurat (batch) (N=2,000)	scvi	Integration	6.285714285714286	2.5634797778466227	scVI
scanpy-Seurat (batch) (N=2,000)	scvi	CoreOverall	17.285714285714285	7.867957924694432	scVI
scanpy-SeuratV3 (N=2,000)	cellcharter	Alignment	15.571428571428571	7.828519290754433	CellCharter
scanpy-SeuratV3 (N=2,000)	cellcharter	Clustering	8.857142857142858	9.564318610135825	CellCharter
scanpy-SeuratV3 (N=2,000)	cellcharter	Integration	14.857142857142858	10.869354035215576	CellCharter
scanpy-SeuratV3 (N=2,000)	cellcharter	CoreOverall	6.857142857142857	5.17779140266618	CellCharter
scanpy-SeuratV3 (N=2,000)	graphst	Alignment	12.428571428571429	6.267831705280087	GraphST
scanpy-SeuratV3 (N=2,000)	graphst	Clustering	9	6.733003292241386	GraphST
scanpy-SeuratV3 (N=2,000)	graphst	Integration	10	8.426149773176359	GraphST
scanpy-SeuratV3 (N=2,000)	graphst	CoreOverall	6.571428571428571	4.2370250120079485	GraphST
scanpy-SeuratV3 (N=2,000)	scvi	Alignment	13	5.131601439446884	scVI
scanpy-SeuratV3 (N=2,000)	scvi	Clustering	9.428571428571429	8.038597366397177	scVI
scanpy-SeuratV3 (N=2,000)	scvi	Integration	19.428571428571427	7.870983480631944	scVI
scanpy-SeuratV3 (N=2,000)	scvi	CoreOverall	11.285714285714286	7.739816658342877	scVI
scanpy-SeuratV3 (batch) (N=2,000)	cellcharter	Alignment	16	4.654746681256314	CellCharter
scanpy-SeuratV3 (batch) (N=2,000)	cellcharter	Clustering	7.571428571428571	8.423323628614833	CellCharter
scanpy-SeuratV3 (batch) (N=2,000)	cellcharter	Integration	13.714285714285714	8.635475005547093	CellCharter
