dataset	heldout_slice	method	n_features	seed	evaluation_role	metric	value	runtime_seconds	Metric	Method
STOmics0212	GSM5907080_AD_4_LS	morans_i	2000	0	heldout_clustering	heldout_ari	0.1913565297951608	1.7235243124887347	ARI	Moran's I (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	morans_i	2000	0	heldout_clustering	heldout_nmi	0.2421433802816254	1.7235243124887347	NMI	Moran's I (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	nnsvg	2000	0	heldout_clustering	heldout_ari	0.2021630283249838	10280.545144095086	ARI	nnSVG (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	nnsvg	2000	0	heldout_clustering	heldout_nmi	0.2470690091029537	10280.545144095086	NMI	nnSVG (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	random	2000	0	heldout_clustering	heldout_ari	0.1049261822085874	0.0018823128193616	ARI	Random (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	random	2000	0	heldout_clustering	heldout_nmi	0.1812058556501153	0.0018823128193616	NMI	Random (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	scanpy_cell_ranger_batch	2000	0	heldout_clustering	heldout_ari	0.1042712165302065	1.2169416146352887	ARI	scanpy-CellRanger (batch) (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	scanpy_cell_ranger_batch	2000	0	heldout_clustering	heldout_nmi	0.19213636258719	1.2169416146352887	NMI	scanpy-CellRanger (batch) (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	scanpy_seurat_v3_batch	2000	0	heldout_clustering	heldout_ari	0.1876381558429804	0.7381784087046981	ARI	scanpy-SeuratV3 (batch) (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	scanpy_seurat_v3_batch	2000	0	heldout_clustering	heldout_nmi	0.2421941773007798	0.7381784087046981	NMI	scanpy-SeuratV3 (batch) (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	scsegindex	2000	0	heldout_clustering	heldout_ari	0.1223053830573404	188.9926537424326	ARI	scSEGIndex (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	scsegindex	2000	0	heldout_clustering	heldout_nmi	0.1777982535671945	188.9926537424326	NMI	scSEGIndex (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	seurat_vst	2000	0	heldout_clustering	heldout_ari	0.1763894791882495	17.042715630494058	ARI	Seurat-VST (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	seurat_vst	2000	0	heldout_clustering	heldout_nmi	0.2270297916115785	17.042715630494058	NMI	Seurat-VST (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	singleCellHaystack	2000	0	heldout_clustering	heldout_ari	0.1125630883823596	65.94043320044875	ARI	singleCellHaystack (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	singleCellHaystack	2000	0	heldout_clustering	heldout_nmi	0.1800361727493183	65.94043320044875	NMI	singleCellHaystack (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	somde	2000	0	heldout_clustering	heldout_ari	0.2132980039091615	2395.1542932325974	ARI	SOMDE (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	somde	2000	0	heldout_clustering	heldout_nmi	0.2586371234894085	2395.1542932325974	NMI	SOMDE (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	sparkx	2000	0	heldout_clustering	heldout_ari	0.1443249575047762	132.50187830161303	ARI	SPARK-X (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	sparkx	2000	0	heldout_clustering	heldout_nmi	0.1985453084859411	132.50187830161303	NMI	SPARK-X (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	spatialde	2000	0	heldout_clustering	heldout_ari	0.1837042542196204	2160.090603022836	ARI	SpatialDE (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	spatialde	2000	0	heldout_clustering	heldout_nmi	0.2366375323831348	2160.090603022836	NMI	SpatialDE (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	triku	2000	0	heldout_clustering	heldout_ari	0.2000070858931374	65.11575154680759	ARI	triku (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	triku	2000	0	heldout_clustering	heldout_nmi	0.2582257174899406	65.11575154680759	NMI	triku (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	wilcoxon	2000	0	heldout_clustering	heldout_ari	0.1994486873516295	54.76505677867681	ARI	Wilcoxon (label-informed) (N=2,000)
STOmics0212	GSM5907080_AD_4_LS	wilcoxon	2000	0	heldout_clustering	heldout_nmi	0.260328487943368	54.76505677867681	NMI	Wilcoxon (label-informed) (N=2,000)
STOmics0212	GSM5907093_HE_3	all_features	2000	0	heldout_clustering	heldout_ari	0.1972910559092218	0.0018045790493488	ARI	All features
STOmics0212	GSM5907093_HE_3	all_features	2000	0	heldout_clustering	heldout_nmi	0.275240106452456	0.0018045790493488	NMI	All features
STOmics0212	GSM5907093_HE_3	morans_i	2000	0	heldout_clustering	heldout_ari	0.2017229484644456	1.975658935494721	ARI	Moran's I (N=2,000)
STOmics0212	GSM5907093_HE_3	morans_i	2000	0	heldout_clustering	heldout_nmi	0.2478316420015497	1.975658935494721	NMI	Moran's I (N=2,000)
STOmics0212	GSM5907093_HE_3	nnsvg	2000	0	heldout_clustering	heldout_ari	0.1822655752076541	11368.83927425556	ARI	nnSVG (N=2,000)
STOmics0212	GSM5907093_HE_3	nnsvg	2000	0	heldout_clustering	heldout_nmi	0.2194087966967184	11368.83927425556	NMI	nnSVG (N=2,000)
STOmics0212	GSM5907093_HE_3	random	2000	0	heldout_clustering	heldout_ari	0.1098873128319989	0.0013945130631327	ARI	Random (N=2,000)
STOmics0212	GSM5907093_HE_3	random	2000	0	heldout_clustering	heldout_nmi	0.169930061314594	0.0013945130631327	NMI	Random (N=2,000)
STOmics0212	GSM5907093_HE_3	scanpy_cell_ranger_batch	2000	0	heldout_clustering	heldout_ari	0.1882387216295044	1.4025378059595823	ARI	scanpy-CellRanger (batch) (N=2,000)
STOmics0212	GSM5907093_HE_3	scanpy_cell_ranger_batch	2000	0	heldout_clustering	heldout_nmi	0.281913846548842	1.4025378059595823	NMI	scanpy-CellRanger (batch) (N=2,000)
