fs_method	Context	Label	MarkerOverlap	MarkerOverlapSD	NSeeds
sparkx	Immune	T Cell	0.53	NA	1
spatialde	Epithelial	Keratinocyte	1	NA	3
spatialde	Epithelial	Merkel Cell	0.6933333333333332	NA	3
spatialde	Epithelial	Progenitor Cell	0.7333333333333333	NA	3
spatialde	Epithelial	Stem Cell	0.9166666666666667	NA	3
spatialde	Full	Keratinocyte	0.9966666666666667	NA	3
spatialde	Full	Langerhans Cell	0.9166666666666667	NA	3
spatialde	Full	Merkel Cell	0.68	NA	3
spatialde	Full	Progenitor Cell	0.78	NA	3
spatialde	Full	Stem Cell	0.88	NA	3
spatialde	Full	T Cell	0.8866666666666667	NA	3
spatialde	Immune	Langerhans Cell	0.94	NA	3
spatialde	Immune	T Cell	0.42	NA	3
statistic_mean	Epithelial	Keratinocyte	1	NA	1
statistic_mean	Epithelial	Merkel Cell	0.56	NA	1
statistic_mean	Epithelial	Progenitor Cell	0.82	NA	1
statistic_mean	Epithelial	Stem Cell	0.92	NA	1
statistic_mean	Full	Keratinocyte	0.99	NA	1
statistic_mean	Full	Langerhans Cell	0.96	NA	1
statistic_mean	Full	Merkel Cell	0.57	NA	1
statistic_mean	Full	Progenitor Cell	0.87	NA	1
statistic_mean	Full	Stem Cell	0.92	NA	1
statistic_mean	Full	T Cell	0.66	NA	1
statistic_mean	Immune	Langerhans Cell	1	NA	1
statistic_mean	Immune	T Cell	0.54	NA	1
statistic_variance	Epithelial	Keratinocyte	1	NA	1
statistic_variance	Epithelial	Merkel Cell	0.67	NA	1
statistic_variance	Epithelial	Progenitor Cell	0.9	NA	1
statistic_variance	Epithelial	Stem Cell	0.95	NA	1
statistic_variance	Full	Keratinocyte	0.99	NA	1
statistic_variance	Full	Langerhans Cell	1	NA	1
statistic_variance	Full	Merkel Cell	0.65	NA	1
statistic_variance	Full	Progenitor Cell	0.96	NA	1
statistic_variance	Full	Stem Cell	0.93	NA	1
statistic_variance	Full	T Cell	0.64	NA	1
statistic_variance	Immune	Langerhans Cell	1	NA	1
statistic_variance	Immune	T Cell	0.54	NA	1
triku	Epithelial	Keratinocyte	0.75	NA	3
triku	Epithelial	Merkel Cell	0.68	NA	3
triku	Epithelial	Progenitor Cell	0.59	NA	3
triku	Epithelial	Stem Cell	0.48	NA	3
triku	Full	Keratinocyte	0.9333333333333333	NA	3
triku	Full	Langerhans Cell	0.6466666666666667	NA	3
triku	Full	Merkel Cell	0.6733333333333333	NA	3
triku	Full	Progenitor Cell	0.5533333333333333	NA	3
triku	Full	Stem Cell	0.6033333333333333	NA	3
triku	Full	T Cell	0.6666666666666667	NA	3
triku	Immune	Langerhans Cell	0.56	NA	3
triku	Immune	T Cell	0.8	NA	3
wilcoxon	Epithelial	Keratinocyte	0.25	NA	1
wilcoxon	Epithelial	Merkel Cell	0.89	NA	1
wilcoxon	Epithelial	Progenitor Cell	0.99	NA	1
wilcoxon	Epithelial	Stem Cell	0.41	NA	1
wilcoxon	Full	Keratinocyte	0.26	NA	1
wilcoxon	Full	Langerhans Cell	0.88	NA	1
wilcoxon	Full	Merkel Cell	0.59	NA	1
wilcoxon	Full	Progenitor Cell	1	NA	1
wilcoxon	Full	Stem Cell	0.17	NA	1
wilcoxon	Full	T Cell	0.21	NA	1
wilcoxon	Immune	Langerhans Cell	0.36	NA	1
wilcoxon	Immune	T Cell	0.72	NA	1
