Method	Type	Mean	SD	Integration
scry (N=2,000)	CoreOverall	0.07014646118555447	0.11936921844140952	CellCharter
scry (N=2,000)	Alignment	0.20406609198075498	0.21028906498387046	GraphST
scry (N=2,000)	Clustering	0.18325026486304916	0.15581232332268838	GraphST
scry (N=2,000)	Integration	-0.11443888938057142	0.24632958699240143	GraphST
scry (N=2,000)	CoreOverall	0.03440568774123889	0.13852284233988546	GraphST
singleCellHaystack (N=2,000)	Alignment	0.11948421470292298	0.013279869211376891	CellCharter
singleCellHaystack (N=2,000)	Clustering	0.14083945687989777	0.11294783816984239	CellCharter
singleCellHaystack (N=2,000)	Integration	-0.010598083271421168	0.20639415859303392	CellCharter
singleCellHaystack (N=2,000)	CoreOverall	0.06512068680423834	0.07665835311381579	CellCharter
singleCellHaystack (N=2,000)	Alignment	0.05999173121522322	0.048927051448198706	GraphST
singleCellHaystack (N=2,000)	Clustering	0.16282231999267205	0.14296611246221347	GraphST
singleCellHaystack (N=2,000)	Integration	-0.07762863413758661	0.1759138462038847	GraphST
singleCellHaystack (N=2,000)	CoreOverall	0.04259684292754278	0.045890190359231024	GraphST
triku (N=2,000)	Alignment	0.05912378790128964	0.0842056020868462	CellCharter
triku (N=2,000)	Clustering	0.13273656380701598	0.12877787609599003	CellCharter
triku (N=2,000)	Integration	-0.09044394432668106	0.09822635057524698	CellCharter
triku (N=2,000)	CoreOverall	0.021146309740167513	0.033272611073922036	CellCharter
triku (N=2,000)	Alignment	0.008401035653172129	0.06407643583802469	GraphST
triku (N=2,000)	Clustering	0.1486731325683785	0.13812482792847544	GraphST
triku (N=2,000)	Integration	-0.12753212225638416	0.108845566813451	GraphST
triku (N=2,000)	CoreOverall	0.010570505155997176	0.04873902455000961	GraphST
